ID_Cliente,Cancelado,Genero,Adulto_Mayor,En_Pareja,Personas_a_Cargo,Meses_Permanencia,Servicio_Telefonico,Multiples_Lineas,Tipo_Internet,Seguridad_Online,Respaldo_Nube,Proteccion_Dispositivo,Soporte_Tecnico,TV_Streaming,Peliculas_Streaming,Tipo_Contrato,Factura_Digital,Metodo_Pago,Cargo_Mensual,Cargo_Total,cuentas_diarias
0106-UGRDO,0,Female,0,1,0,69,1,1,Fiber optic,Yes,Yes,1,1,1,1,Two year,1,Electronic check,116.0,8182.85,70.5418103448276
0107-WESLM,1,Male,0,0,0,1,1,0,No,No,No,0,0,0,0,Month-to-month,1,Electronic check,19.85,19.85,1.0
0107-YHINA,1,Male,0,0,1,1,1,1,Fiber optic,No,No,1,0,1,1,Month-to-month,1,Electronic check,99.75,99.75,1.0
0111-KLBQG,0,Male,1,1,1,32,1,0,Fiber optic,No,Yes,0,0,1,1,Month-to-month,1,Mailed check,93.95,2861.45,30.45715806279936
0112-QAWRZ,0,Male,0,1,1,16,1,1,Fiber optic,No,No,1,0,1,0,Month-to-month,1,Bank transfer (automatic),90.8,1442.2,15.883259911894275
0112-QWPNC,1,Male,0,1,0,49,1,1,DSL,Yes,No,1,1,1,1,One year,0,Electronic check,84.35,4059.35,48.125074096028456
0114-IGABW,0,Female,0,1,0,71,0,0,DSL,No,Yes,1,1,1,1,Two year,0,Bank transfer (automatic),58.25,4145.9,71.17424892703862
0114-PEGZZ,0,Female,0,0,0,33,1,1,Fiber optic,No,Yes,1,0,1,1,Month-to-month,0,Electronic check,107.55,3645.5,33.89586238958624
0114-RSRRW,0,Female,0,1,0,10,1,0,No,No,No,0,0,0,0,Month-to-month,1,Bank transfer (automatic),19.95,187.75,9.411027568922306
0115-TFERT,1,Male,0,1,0,21,1,1,Fiber optic,No,Yes,1,1,1,1,Month-to-month,1,Electronic check,111.2,2317.1,20.837230215827336
0117-LFRMW,1,Male,0,1,1,37,0,0,DSL,Yes,Yes,1,0,0,0,Month-to-month,0,Bank transfer (automatic),40.2,1448.8,36.03980099502487
0118-JPNOY,0,Female,1,0,0,26,1,0,Fiber optic,Yes,No,0,0,1,0,Month-to-month,1,Credit card (automatic),85.8,2193.65,25.567016317016318
0120-YZLQA,0,Male,0,0,0,71,1,0,No,No,No,0,0,0,0,Two year,1,Credit card (automatic),19.9,1355.1,68.09547738693468
0121-SNYRK,0,Male,0,0,0,50,0,0,DSL,Yes,No,0,1,0,0,One year,1,Mailed check,35.4,1748.9,49.40395480225989
0122-OAHPZ,1,Female,0,0,0,7,1,1,Fiber optic,No,No,0,0,0,0,Month-to-month,1,Electronic check,73.85,511.25,6.922816519972919
0123-CRBRT,0,Female,0,1,1,61,1,1,DSL,Yes,Yes,1,1,1,1,Two year,0,Mailed check,88.1,5526.75,62.73269012485812
0125-LZQXK,1,Male,0,0,0,15,1,0,Fiber optic,No,No,1,1,1,1,Month-to-month,1,Electronic check,101.35,1553.95,15.332511100148004
0128-MKWSG,0,Female,0,0,1,26,0,0,DSL,Yes,No,0,1,0,1,Month-to-month,0,Mailed check,45.8,1147.0,25.043668122270745
0129-KPTWJ,0,Male,0,1,0,72,1,0,Fiber optic,No,No,1,0,1,1,Month-to-month,1,Electronic check,94.65,6747.35,71.28737453777073
0129-QMPDR,0,Male,0,1,1,44,1,0,No,No,No,0,0,0,0,One year,1,Bank transfer (automatic),20.5,865.05,42.197560975609754
0130-SXOUN,0,Male,0,0,0,66,1,1,Fiber optic,No,Yes,0,0,0,1,Month-to-month,0,Credit card (automatic),89.4,5976.9,66.85570469798657
0133-BMFZO,1,Female,0,0,0,2,1,0,Fiber optic,Yes,Yes,0,1,0,0,Month-to-month,1,Electronic check,86.25,181.65,2.106086956521739
0134-XWXCE,0,Female,1,0,0,44,1,0,DSL,No,No,1,1,1,1,One year,0,Bank transfer (automatic),74.85,3268.05,43.66132264529059
0135-NMXAP,1,Female,0,0,0,12,1,1,Fiber optic,No,Yes,0,0,1,0,Month-to-month,1,Bank transfer (automatic),89.75,1052.4,11.72590529247911
0136-IFMYD,0,Male,1,1,0,69,1,1,Fiber optic,No,Yes,1,1,1,1,Two year,1,Electronic check,109.95,7634.25,69.43383356070942
0137-OCGAB,1,Female,0,0,0,1,1,1,Fiber optic,No,Yes,0,0,0,0,Month-to-month,1,Mailed check,80.2,80.2,1.0
0137-UDEUO,1,Female,0,0,0,3,1,0,No,No,No,0,0,0,0,Month-to-month,0,Mailed check,19.85,63.75,3.211586901763224
0139-IVFJG,0,Female,0,1,0,2,1,0,Fiber optic,Yes,Yes,0,0,1,0,Month-to-month,0,Electronic check,90.35,190.5,2.1084670724958494
0141-YEAYS,0,Female,1,0,0,27,1,1,Fiber optic,No,Yes,1,0,0,0,Month-to-month,1,Bank transfer (automatic),86.45,2401.05,27.773857721226143
0142-GVYSN,0,Male,0,0,0,26,1,0,No,No,No,0,0,0,0,Month-to-month,1,Electronic check,20.3,511.25,25.18472906403941
0147-ESWWR,0,Female,1,1,0,39,1,1,Fiber optic,No,No,0,1,1,1,Month-to-month,1,Electronic check,101.25,3949.15,39.00395061728395
0148-DCDOS,1,Male,0,0,0,25,1,1,Fiber optic,No,No,0,0,1,1,Month-to-month,1,Bank transfer (automatic),94.7,2362.1,24.942977824709608
0151-ONTOV,1,Female,0,0,0,1,1,0,Fiber optic,No,No,0,0,0,0,Month-to-month,0,Mailed check,70.9,70.9,1.0
0154-QYHJU,0,Male,0,0,0,29,1,0,DSL,Yes,Yes,0,1,0,0,One year,1,Electronic check,58.75,1696.2,28.871489361702128
0156-FVPTA,1,Male,0,1,0,22,1,0,DSL,Yes,No,0,1,0,0,Month-to-month,1,Electronic check,54.2,1152.7,21.267527675276753
0162-RZGMZ,0,Female,1,0,0,5,1,0,DSL,Yes,Yes,0,1,0,0,Month-to-month,0,Credit card (automatic),59.9,287.85,4.80550918196995
0164-APGRB,0,Female,0,0,0,72,1,1,Fiber optic,Yes,Yes,1,1,1,1,Two year,1,Electronic check,114.9,8496.7,73.94865100087033
0164-XAIRP,0,Female,0,0,0,24,1,0,No,No,No,0,0,0,0,Two year,1,Bank transfer (automatic),19.55,470.2,24.051150895140662
0168-XZKBB,0,Female,0,1,0,19,1,1,Fiber optic,No,No,0,0,1,0,Month-to-month,1,Electronic check,86.85,1564.4,18.01266551525619
0174-QRVVY,0,Male,0,1,1,71,1,1,No,No,No,0,0,0,0,Two year,0,Credit card (automatic),25.35,1847.55,72.88165680473372
0177-PXBAT,0,Male,1,1,0,33,1,1,Fiber optic,Yes,No,1,1,1,1,Month-to-month,1,Bank transfer (automatic),109.9,3694.7,33.618744313011824
0178-CIIKR,0,Female,0,0,0,3,1,0,No,No,No,0,0,0,0,Month-to-month,0,Mailed check,19.95,58.0,2.9072681704260654
0178-SZBHO,0,Male,0,1,1,47,1,1,Fiber optic,No,Yes,0,0,1,0,Month-to-month,0,Electronic check,87.2,4017.45,46.0716743119266
0181-RITDD,0,Male,0,1,1,62,1,0,Fiber optic,Yes,Yes,1,1,1,1,Two year,0,Mailed check,108.15,6825.65,63.112806287563565
0186-CAERR,0,Male,0,0,0,71,1,1,Fiber optic,Yes,Yes,1,1,1,1,One year,1,Bank transfer (automatic),116.3,8309.55,71.44926913155632
0187-QSXOE,0,Male,1,1,0,7,1,0,Fiber optic,No,No,0,0,1,1,Month-to-month,1,Electronic check,89.0,605.45,6.8028089887640455
0187-WZNAB,0,Female,0,1,1,27,1,0,Fiber optic,Yes,No,0,0,0,0,Month-to-month,0,Mailed check,74.4,1972.35,26.51008064516129
0188-GWFLE,0,Male,0,0,0,2,1,0,No,No,No,0,0,0,0,Month-to-month,0,Mailed check,20.05,33.7,1.6807980049875313
0191-EQUUH,0,Female,0,0,1,25,0,0,DSL,Yes,No,0,1,0,0,Two year,0,Bank transfer (automatic),35.05,844.45,24.09272467902996
0191-ZHSKZ,0,Male,1,0,0,30,1,0,DSL,Yes,Yes,0,0,1,1,Month-to-month,1,Electronic check,74.75,2111.3,28.24481605351171
0193-ESZXP,1,Female,1,1,0,58,1,0,Fiber optic,Yes,Yes,0,1,1,1,One year,1,Credit card (automatic),105.5,6205.5,58.81990521327014
0195-IESCP,1,Male,0,1,0,10,1,1,Fiber optic,No,No,0,0,0,1,Month-to-month,1,Electronic check,85.25,855.3,10.032844574780059
0196-JTUQI,0,Female,0,0,0,9,1,1,Fiber optic,No,No,0,0,0,0,Month-to-month,1,Credit card (automatic),75.2,633.85,8.428856382978724
0196-VULGZ,1,Female,1,1,0,6,1,1,Fiber optic,No,No,0,0,0,1,Month-to-month,1,Electronic check,84.35,474.9,5.630112625963249
0197-PNKNK,0,Female,0,1,1,69,1,1,Fiber optic,Yes,No,1,0,0,0,One year,0,Bank transfer (automatic),84.45,5848.6,69.25518058022499
0201-MIBOL,0,Female,1,0,0,66,1,1,Fiber optic,Yes,No,0,0,1,1,Two year,1,Bank transfer (automatic),102.4,6471.85,63.20166015625
0201-OAMXR,1,Female,0,0,0,70,1,1,Fiber optic,Yes,Yes,1,1,1,1,One year,0,Credit card (automatic),115.55,8127.6,70.33838165296409
0203-HHYIJ,1,Male,0,0,0,25,1,1,No,No,No,0,0,0,0,One year,0,Bank transfer (automatic),25.3,676.35,26.733201581027668
0206-OYVOC,0,Female,0,1,1,46,1,0,No,No,No,0,0,0,0,Two year,1,Mailed check,19.25,864.2,44.89350649350649
0206-TBWLC,0,Female,0,1,0,54,1,1,Fiber optic,Yes,Yes,1,1,1,1,One year,1,Mailed check,114.65,6049.5,52.764936764064544
0207-MDKNV,1,Female,0,0,0,15,1,0,Fiber optic,Yes,No,1,1,1,1,Month-to-month,0,Electronic check,105.1,1582.75,15.059467174119886
0208-BPQEJ,0,Female,0,1,1,12,1,0,No,No,No,0,0,0,0,Month-to-month,0,Bank transfer (automatic),19.4,198.1,10.211340206185568
0212-ISBBF,0,Female,0,0,0,22,0,0,DSL,No,Yes,0,0,1,1,Month-to-month,1,Electronic check,50.35,1098.85,21.824230387288974
0214-JHPFW,0,Female,0,1,0,70,0,0,DSL,No,Yes,1,1,1,1,Two year,0,Bank transfer (automatic),57.8,4039.3,69.8840830449827
0215-BQKGS,0,Male,0,0,0,30,1,0,Fiber optic,Yes,Yes,1,0,0,0,Month-to-month,1,Credit card (automatic),84.3,2438.6,28.927639383155398
0218-QNVAS,0,Male,0,1,1,71,1,1,Fiber optic,No,Yes,0,0,1,1,One year,0,Bank transfer (automatic),100.55,7113.75,70.74838388861264
0219-QAERP,0,Male,0,1,0,30,1,0,No,No,No,0,0,0,0,One year,0,Credit card (automatic),19.8,576.65,29.12373737373737
0219-YTZUE,1,Male,0,1,1,4,1,1,Fiber optic,No,Yes,1,0,0,0,Month-to-month,1,Bank transfer (automatic),84.8,371.9,4.38561320754717
0220-EBGCE,1,Male,0,0,0,2,1,0,Fiber optic,No,No,1,0,0,1,Month-to-month,1,Electronic check,85.85,167.3,1.9487478159580667
0221-NAUXK,0,Male,0,0,1,10,1,0,No,No,No,0,0,0,0,One year,1,Bank transfer (automatic),19.95,219.5,11.002506265664161
0221-WMXNQ,0,Male,1,0,0,4,1,0,Fiber optic,Yes,No,0,0,0,0,Month-to-month,0,Electronic check,75.35,273.4,3.628400796284008
0222-CNVPT,0,Male,1,0,0,52,0,0,DSL,Yes,No,0,0,1,1,Month-to-month,1,Credit card (automatic),48.8,2555.05,52.35758196721312
0224-HJAPT,1,Male,0,0,0,5,1,1,DSL,No,No,0,0,0,0,Month-to-month,0,Electronic check,47.15,223.15,4.732767762460234
0224-NIJLP,0,Male,0,1,1,8,1,0,No,No,No,0,0,0,0,Two year,0,Mailed check,20.15,165.5,8.213399503722085
0224-RLWWD,0,Female,1,0,0,2,1,0,DSL,No,No,0,0,0,0,Month-to-month,1,Electronic check,44.3,89.3,2.015801354401806
0225-ZORZP,0,Male,0,0,0,3,1,0,Fiber optic,No,Yes,0,0,0,1,Month-to-month,0,Electronic check,84.3,235.05,2.788256227758007
0228-MAUWC,0,Male,0,0,0,19,1,1,DSL,No,No,1,1,0,0,Month-to-month,0,Electronic check,59.55,1144.6,19.2208228379513
0229-LFJAF,0,Male,0,0,0,72,1,1,DSL,Yes,Yes,1,1,0,0,Two year,0,Bank transfer (automatic),69.65,4908.25,70.47020818377602
0230-UBYPQ,0,Male,1,1,0,63,0,0,DSL,Yes,No,0,1,0,0,One year,0,Bank transfer (automatic),36.1,2298.9,63.6814404432133
0230-WEQUW,0,Male,0,1,0,66,0,0,DSL,Yes,Yes,1,1,1,0,Two year,1,Bank transfer (automatic),56.6,3789.2,66.94699646643109
0231-LXVAP,1,Male,0,0,0,1,1,0,Fiber optic,No,No,0,1,0,0,Month-to-month,1,Electronic check,75.9,75.9,1.0
0233-FTHAV,0,Female,0,0,0,60,1,1,Fiber optic,No,No,1,0,0,0,One year,1,Bank transfer (automatic),79.2,4765.0,60.16414141414141
0234-TEVTT,0,Female,0,1,1,48,0,0,DSL,Yes,No,1,0,0,1,One year,0,Credit card (automatic),45.0,2196.3,48.80666666666667
0235-KGSLC,1,Female,0,0,0,1,1,0,Fiber optic,No,No,1,0,1,0,Month-to-month,1,Credit card (automatic),85.55,85.55,1.0
0236-HFWSV,1,Male,0,0,0,15,1,1,Fiber optic,No,No,0,0,1,1,Month-to-month,1,Electronic check,93.35,1444.65,15.475629351901448
0237-YFUTL,0,Female,0,1,0,50,1,1,Fiber optic,Yes,Yes,0,1,1,1,Month-to-month,1,Bank transfer (automatic),109.65,5405.8,49.30050159598723
0238-WHBIQ,0,Male,0,1,1,72,1,1,DSL,Yes,Yes,1,1,1,1,Two year,0,Credit card (automatic),89.7,6339.3,70.67224080267559
0239-OXEXL,0,Female,0,0,0,46,1,1,Fiber optic,Yes,Yes,0,0,0,0,Month-to-month,0,Mailed check,84.25,3847.6,45.66884272997032
0244-LGNFY,0,Female,0,1,1,72,1,1,DSL,Yes,Yes,1,1,1,1,Two year,0,Bank transfer (automatic),92.65,6733.0,72.67134376686454
0247-SLUJI,0,Male,0,1,1,1,1,0,No,No,No,0,0,0,0,Month-to-month,0,Mailed check,19.7,19.7,1.0
0248-IPDFW,0,Female,0,0,0,1,1,1,DSL,No,No,0,0,0,0,Month-to-month,1,Electronic check,50.1,50.1,1.0
0248-PGHBZ,0,Female,1,0,0,67,1,0,Fiber optic,Yes,Yes,0,1,1,0,Two year,1,Bank transfer (automatic),92.45,6140.85,66.42347214710655
0253-ZTEOB,0,Female,0,1,1,48,1,1,DSL,No,Yes,0,1,1,1,Two year,0,Electronic check,79.65,3870.3,48.591337099811675
0254-FNMCI,0,Female,0,0,0,72,1,0,Fiber optic,Yes,Yes,1,1,1,1,Two year,1,Electronic check,109.9,7624.2,69.3739763421292
0254-KCJGT,0,Male,0,1,0,52,1,1,DSL,Yes,Yes,1,1,0,1,One year,1,Credit card (automatic),81.4,4354.45,53.49447174447174
0254-WWRKD,0,Female,0,1,1,67,1,0,DSL,No,Yes,0,0,0,0,One year,0,Credit card (automatic),50.55,3431.75,67.88822947576656
0256-LTHVJ,1,Female,0,1,1,28,1,0,Fiber optic,No,No,0,0,0,1,Month-to-month,1,Electronic check,81.05,2227.1,27.478099938309686
0257-KXZGU,0,Female,0,1,1,32,1,1,DSL,No,Yes,1,0,0,0,Month-to-month,0,Bank transfer (automatic),62.45,2045.55,32.75500400320256
0257-ZESQC,1,Female,1,1,0,27,1,0,Fiber optic,Yes,No,0,0,0,0,Month-to-month,1,Bank transfer (automatic),75.2,1929.35,25.656249999999996
0258-NOKBL,0,Male,0,0,0,3,1,0,Fiber optic,No,Yes,1,0,0,1,Month-to-month,0,Electronic check,90.4,268.45,2.969579646017699
0259-GBZSH,1,Male,0,0,0,2,1,1,Fiber optic,No,No,0,0,1,0,Month-to-month,1,Electronic check,85.65,181.5,2.1190893169877407
0260-ZDLGK,1,Female,0,0,1,9,1,0,DSL,No,No,1,1,1,1,Month-to-month,1,Mailed check,72.9,651.4,8.935528120713306
0263-FJTQO,0,Male,0,1,1,50,1,1,DSL,Yes,No,0,1,1,0,Two year,1,Credit card (automatic),70.5,3486.65,49.45602836879433
0264-CNITK,0,Female,0,1,1,71,1,0,No,No,No,0,0,0,0,Two year,0,Bank transfer (automatic),20.1,1389.6,69.13432835820895
0265-EDXBD,1,Male,1,1,0,32,1,1,Fiber optic,No,No,0,0,0,0,Month-to-month,1,Electronic check,74.9,2303.35,30.75233644859813
0265-PSUAE,0,Female,0,1,1,16,1,0,Fiber optic,Yes,No,1,0,1,1,Month-to-month,0,Bank transfer (automatic),100.7,1522.7,15.121151936444885
0266-CLZKZ,0,Female,0,1,1,67,1,1,Fiber optic,No,No,1,1,1,1,Two year,1,Bank transfer (automatic),105.65,6717.9,63.58637008991954
0266-GMEAO,0,Male,0,1,1,72,1,1,Fiber optic,Yes,Yes,1,1,1,1,Two year,1,Credit card (automatic),114.3,8058.55,70.50349956255468
0268-QKIWO,1,Female,0,0,0,3,1,0,No,No,No,0,0,0,0,Month-to-month,0,Electronic check,19.75,58.85,2.979746835443038
0269-XFESX,0,Male,0,1,1,23,1,1,No,No,No,0,0,0,0,One year,0,Mailed check,24.35,538.5,22.11498973305955
0270-THENM,0,Male,0,1,1,72,1,1,DSL,Yes,Yes,1,1,0,0,Two year,0,Bank transfer (automatic),69.85,5102.35,73.0472440944882
0274-JKUJR,0,Male,0,1,1,7,0,0,DSL,Yes,Yes,1,0,1,1,Month-to-month,0,Mailed check,58.85,465.7,7.913338997451147
0274-VVQOQ,0,Male,1,1,0,65,1,1,Fiber optic,No,Yes,1,0,1,1,One year,1,Bank transfer (automatic),103.15,6792.45,65.85021812893844
0277-BKSQP,0,Male,0,1,1,8,1,0,DSL,No,No,0,0,1,0,Month-to-month,1,Electronic check,54.4,475.1,8.733455882352942
